Price,Date,Close,High,Low,Open,Volume
Ticker,,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
5981,2019-09-30,606.9439086914062,608.5384473646258,594.7799555819121,596.8073115117165,25263770
5982,2019-10-01,594.48388671875,611.3858390276982,589.1991489286858,609.107952635307,17920384
5983,2019-10-03,597.2857055664062,598.9485486495571,583.7322480298894,585.8734648958773,13524851
5984,2019-10-04,595.9417114257812,605.2811006315036,594.0055292272416,601.3175623860402,14992253
5985,2019-10-07,596.8529052734375,601.727573794237,593.0260365481064,595.9417141933939,10061584
5986,2019-10-09,603.527099609375,605.896159975223,588.8347285461177,596.2151270804624,17588647
5987,2019-10-10,620.839111328125,623.686423804396,601.8186893162473,603.6410106607789,35006390
5988,2019-10-11,616.2149658203125,622.1374949133606,608.902932684761,621.2718603529356,16597126
5989,2019-10-14,618.675048828125,621.8413175299308,615.417667105682,621.8413175299308,13394275
5990,2019-10-15,621.4768676757812,624.1420147736394,616.9893993355357,620.7251548412742,9672791
5991,2019-10-16,625.212646484375,628.5383326966195,621.2718561230316,624.0964815244113,19403660
5992,2019-10-17,636.2147827148438,637.3537562795008,625.0531337321348,626.4198898451011,16038940
5993,2019-10-18,645.258056640625,650.5199858338933,637.2171193925154,639.6316753513925,28121951
5994,2019-10-22,644.2557983398438,654.5973696139132,639.3355126898243,649.1987710106612,27786502
5995,2019-10-23,634.346923828125,649.6315894467807,630.1328553246293,645.2352948992277,18446160
5996,2019-10-24,654.4151611328125,656.6702997191485,631.6818533364011,638.2649214005625,22642488
5997,2019-10-25,652.0233764648438,656.6930099277647,642.9345791068283,656.533592555916,13539957
5998,2019-10-27,653.4129028320312,658.3103798337843,651.4766598753273,656.4880585664032,3014841
5999,2019-10-29,668.3558959960938,674.2556165225404,656.989211407722,658.538193682068,25768505
6000,2019-10-30,673.8455810546875,676.3285021637283,665.2807136084404,674.2555896577948,16341366
6001,2019-10-31,667.1257934570312,678.6519559794333,665.9185154724761,676.0779218061059,19463741
6002,2019-11-01,663.7317504882812,665.9640804369695,656.4880824890148,662.8661767457119,13904301
6003,2019-11-04,664.0734252929688,670.1553715353812,658.3559311365268,667.8319286642073,14063434
6004,2019-11-05,659.3582153320312,669.2214742253132,656.4880941536109,666.5563877695438,12685356
6005,2019-11-06,653.708984375,658.9709134224005,650.7933068649986,657.2625138583702,14625505
6006,2019-11-07,664.5062255859375,666.5107120075832,652.478942117402,653.7545852088322,14084039
6007,2019-11-08,658.5381469726562,664.9845452011248,656.6247127278561,660.1326856471749,12019353
6008,2019-11-11,650.4744262695312,657.9686853385274,648.0826181663189,655.6224337470968,11357841
6009,2019-11-13,670.7476196289062,672.3877148717824,651.4766677886735,651.4766677886735,25225749
6010,2019-11-14,666.3969116210938,674.9845273376792,663.230642683079,672.4333017464038,14258133
6011,2019-11-15,670.0870971679688,677.3535738380801,666.5791240372932,667.7180976800332,15691605
6012,2019-11-18,664.7796020507812,676.9890514215673,663.0483937661069,670.9071049922475,14076051
6013,2019-11-19,687.8090209960938,690.1552724814939,667.4219050755025,668.3330352699625,30176255
6014,2019-11-20,705.075439453125,716.3510103715514,703.0481443166666,708.446742889074,43538120
6015,2019-11-21,700.4968872070312,708.8795288117608,696.3739315850736,703.8681907831955,14897371
6016,2019-11-22,704.551513671875,715.0298153089565,700.4968625499317,702.5469663663849,22352865
